,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
246,DA9EPXG69,02/01/2018 12:00:00 AM,LUCK THAI CUISINE,95,A,1,ROUTINE INSPECTION,EE0001006,524 S OCCIDENTAL BLVD,LOS ANGELES,FA0224616,CA,90057,OW0229085,LUCK THAI CUISINE INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,LUCK THAI CUISINE,ACTIVE,PR0179864,['Thai'],False,34.064989,-118.2835702,$,3.5,166,qhAK5fPWO8fOBP-YU3L6lg
247,DAXWHBY3Q,02/01/2018 12:00:00 AM,HYDE BASEMENT KITCHEN & COCKTAIL,97,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000838,8117 W SUNSET BLVD,LOS ANGELES,FA0158871,CA,90046,OW0123918,NAZKOR LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,HYDE SUNSET KITCHEN & COCKTAILS,ACTIVE,PR0146952,['American (New)'],False,34.0981949,-118.365991,$$$,3.0,307,dyL1vwCC4nGskkOtQoygTQ
248,DAXWHBY3Q,02/01/2018 12:00:00 AM,HYDE BASEMENT KITCHEN & COCKTAIL,97,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000838,8117 W SUNSET BLVD,LOS ANGELES,FA0158871,CA,90046,OW0123918,NAZKOR LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,HYDE SUNSET KITCHEN & COCKTAILS,ACTIVE,PR0146952,['American (New)'],False,34.0981949,-118.365991,$$$,3.0,307,dyL1vwCC4nGskkOtQoygTQ
249,DAAWQFTOX,01/18/2018 12:00:00 AM,HYDE BASEMENT KITCHEN & COCKTAIL,80,B,1,ROUTINE INSPECTION,EE0000838,8117 W SUNSET BLVD,LOS ANGELES,FA0158871,CA,90046,OW0123918,NAZKOR LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,HYDE SUNSET KITCHEN & COCKTAILS,ACTIVE,PR0146952,['American (New)'],False,34.0981949,-118.365991,$$$,3.0,307,dyL1vwCC4nGskkOtQoygTQ
250,DAAWQFTOX,01/18/2018 12:00:00 AM,HYDE BASEMENT KITCHEN & COCKTAIL,80,B,1,ROUTINE INSPECTION,EE0000838,8117 W SUNSET BLVD,LOS ANGELES,FA0158871,CA,90046,OW0123918,NAZKOR LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,HYDE SUNSET KITCHEN & COCKTAILS,ACTIVE,PR0146952,['American (New)'],False,34.0981949,-118.365991,$$$,3.0,307,dyL1vwCC4nGskkOtQoygTQ
251,DASOJUAHA,01/31/2018 12:00:00 AM,I PANINI DI AMBRA,96,A,1,ROUTINE INSPECTION,EE0000857,5633 HOLLYWOOD BLVD,LOS ANGELES,FA0029872,CA,90028,OW0016784,I PANINI DI AMBRA INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,I PANINI DI AMBRA,ACTIVE,PR0011304,"['Italian', 'Coffee & Tea', 'Delis']",False,34.1018622167479,-118.312493551102,$,4.5,323,XLvPJe88m6Me144LD0mpDA
252,DAWBT5ZXF,01/31/2018 12:00:00 AM,DON FRANCISCO'S CAFE,96,A,1,ROUTINE INSPECTION,EE0000721,541 S SPRING ST # 124,LOS ANGELES,FA0249009,CA,90013,OW0243325,"DF ROASTERS, LP",RESTAURANT (0-30) SEATS HIGH RISK,1632,DON FRANCISCO'S CAFE,ACTIVE,PR0197716,"['Coffee & Tea', 'Cafes', 'Cuban']",False,34.04676,-118.25099,$,4.5,267,vdd-Z6zAv_WrRIqU1bhiQA
253,DAFB19YVA,01/31/2018 12:00:00 AM,KOURAKU RESTAURANT,81,B,1,ROUTINE INSPECTION,EE0001058,314 E 2ND ST,LOS ANGELES,FA0033608,CA,90012,OW0039471,"YAMAUCHI, MIHOKO",RESTAURANT (31-60) SEATS HIGH RISK,1635,KOURAKU RESTAURANT,ACTIVE,PR0011428,['Japanese'],False,34.04883,-118.24147,$,3.5,936,YoyF3zjhYs5loTX9xtYgtA
254,DARVMXAFD,01/31/2018 12:00:00 AM,LA MAYORDOMIA,92,A,1,ROUTINE INSPECTION,EE0001025,5892 S BROADWAY,LOS ANGELES,FA0065198,CA,90003,OW0020414,LA MAYORDOMIA INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,LA MAYORDOMIA,ACTIVE,PR0038467,['Mexican'],False,33.9871062673667,-118.273927795471,$$,3.5,18,NDjZQCkzYtyvtNJQQAp9zQ
255,DAJUKK0YT,01/31/2018 12:00:00 AM,COLDSTONE CREAMERY,95,A,1,ROUTINE INSPECTION,EE0000874,3730 S FIGUEROA ST,LOS ANGELES,FA0016367,CA,90007,OW0023320,MARESP CORPORATION,RESTAURANT (0-30) SEATS LOW RISK,1630,COLDSTONE CREAMERY,ACTIVE,PR0002402,"['Ice Cream & Frozen Yogurt', 'Custom Cakes', 'Cupcakes']",False,34.0170258,-118.2826131,$$,3.0,96,IvUgxNZhqGSonktgkDFnNQ
