,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
174,DAXISHCM5,01/06/2016 12:00:00 AM,CGV CINEMAS CONCESSION STAND,90,A,1,ROUTINE INSPECTION,EE0000869,621 S WESTERN AVE STE 304,LOS ANGELES,FA0059447,CA,90005,OW0008292,"CJ CGV AMERICA LA, LLC",RESTAURANT (61-150) SEATS MODERATE RISK,1637,CGV CINEMAS CONCESSION STAND,ACTIVE,PR0027229,['Cinema'],False,34.06273,-118.30946,blank,4.5,337,T67oD4mHHGRTMDyrTwnnJA
175,DAVQ01LBO,01/06/2016 12:00:00 AM,DOMINO'S PIZZA,95,A,1,ROUTINE INSPECTION,EE0000740,4815 E VALLEY BLVD STE H,LOS ANGELES,FA0011408,CA,90032,OW0010606,E.M. PIZZA INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,DOMINO'S PIZZA,ACTIVE,PR0013823,"['Pizza', 'Chicken Wings', 'Sandwiches']",False,34.0668940967576,-118.180088869394,$$,2.5,51,2tZl7YDGaym09Nj5rxY6pQ
176,DAIQ3R7FB,01/06/2016 12:00:00 AM,ES CON SABOR WEST,91,A,1,ROUTINE INSPECTION,EE0000015,10401 W VENICE BLVD # 105,LOS ANGELES,FA0180095,CA,90034,OW0185555,E & H SALVADORAN CUISINE LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,ES CON SABOR WEST,ACTIVE,PR0173821,['Salvadoran'],False,34.0204692501392,-118.404583409429,$,4.0,94,P6duIgMehH2Dk4UR17jRyQ
177,DAWIUDBVB,01/06/2016 12:00:00 AM,"GIGGLES ""N"" HUGS",94,A,1,ROUTINE INSPECTION,EE0000375,10250 SANTA MONICA BLVD STE #155,LOS ANGELES,FA0025424,CA,90067,OW0013218,"GIGGLES ""N"" HUGS LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,"GIGGLES ""N"" HUGS",INACTIVE,PR0035358,"['American (Traditional)', 'Venues & Event Spaces', 'Kids Activities']",True,34.058603,-118.419048,$$,3.5,248,w0lh9Ux27r209udvnOQtLA
178,DAKBEA3HA,01/06/2016 12:00:00 AM,CEMITAS POBLANAS JUQUILITA,96,A,1,ROUTINE INSPECTION,EE0000997,532 S LORENA ST,LOS ANGELES,FA0013910,CA,90063,OW0005640,"CABALLERO, WENDY",RESTAURANT (0-30) SEATS HIGH RISK,1632,CEMITAS POBLANAS JUQUILITA,INACTIVE,PR0034133,['Mexican'],False,34.0315432,-118.1984756,$,4.0,48,Rus6ntlcA8HjHO17_1lJ_Q
179,DAKBEA3HA,01/06/2016 12:00:00 AM,CEMITAS POBLANAS JUQUILITA,96,A,1,ROUTINE INSPECTION,EE0000997,532 S LORENA ST,LOS ANGELES,FA0013910,CA,90063,OW0005640,"CABALLERO, WENDY",RESTAURANT (0-30) SEATS HIGH RISK,1632,CEMITAS POBLANAS JUQUILITA,INACTIVE,PR0034133,['Mexican'],False,34.0315432,-118.1984756,$,4.0,48,Rus6ntlcA8HjHO17_1lJ_Q
180,DAP0RSSEQ,09/24/2015 12:00:00 AM,CEMITAS POBLANAS JUQUILITA,93,A,1,ROUTINE INSPECTION,EE0000997,532 S LORENA ST,LOS ANGELES,FA0013910,CA,90063,OW0005640,"CABALLERO, WENDY",RESTAURANT (0-30) SEATS HIGH RISK,1632,CEMITAS POBLANAS JUQUILITA,INACTIVE,PR0034133,['Mexican'],False,34.0315432,-118.1984756,$,4.0,48,Rus6ntlcA8HjHO17_1lJ_Q
181,DAP0RSSEQ,09/24/2015 12:00:00 AM,CEMITAS POBLANAS JUQUILITA,93,A,1,ROUTINE INSPECTION,EE0000997,532 S LORENA ST,LOS ANGELES,FA0013910,CA,90063,OW0005640,"CABALLERO, WENDY",RESTAURANT (0-30) SEATS HIGH RISK,1632,CEMITAS POBLANAS JUQUILITA,INACTIVE,PR0034133,['Mexican'],False,34.0315432,-118.1984756,$,4.0,48,Rus6ntlcA8HjHO17_1lJ_Q
182,DA0SMNWUV,01/06/2016 12:00:00 AM,HOLLY GROUNDS COFFEE ANDTEA,97,A,1,ROUTINE INSPECTION,EE0000740,5371 ALHAMBRA AVE,LOS ANGELES,FA0017133,CA,90032,OW0004975,BOLAND STEVEN,RESTAURANT (0-30) SEATS MODERATE RISK,1631,HOLLY GROUNDS COFFEE ANDTEA,INACTIVE,PR0037805,"['Coffee & Tea', 'Music Venues', 'Art Galleries']",False,34.076901,-118.168809,$,4.5,524,O5DO8F8VEOpEh8d_eYohog
183,DATT05WLM,01/06/2016 12:00:00 AM,FAT SAL'S,91,A,1,ROUTINE INSPECTION,EE0000911,972 GAYLEY AVE,LOS ANGELES,FA0022718,CA,90024,OW0035574,"THE GAYLEY GROUP, LP",RESTAURANT (0-30) SEATS HIGH RISK,1632,FAT SAL'S,ACTIVE,PR0047310,"['Delis', 'American (New)', 'Burgers']",False,34.0625164548532,-118.448010678225,$$,4.0,1064,txH67ORSC9m_3F_ZVqoXwg
